Field of Study;Age;Gender;Education Level;Years of Experience;Family Influence
Medicine;53;Male;PhD;26;Low
Arts;21;Male;PhD;4;Medium
Computer Science;20;Male;High School;1;None
Biology;38;Female;Bachelor's;7;High
Mechanical Engineering;25;Female;High School;37;Medium
Biology;35;Male;High School;12;Medium
Education;48;Male;PhD;32;None
Medicine;26;Female;Bachelor's;16;Low
Economics;23;Male;Bachelor's;6;High
Biology;58;Female;PhD;25;Low
Economics;27;Female;Master's;21;High
Biology;58;Male;Master's;17;Medium
Education;40;Male;Master's;15;Medium
Psychology;29;Female;Master's;28;Medium
Arts;26;Male;Bachelor's;6;High
Economics;44;Female;Master's;12;High
Economics;58;Female;High School;12;None
Psychology;45;Female;Bachelor's;13;Low
Computer Science;45;Male;Master's;33;High
Biology;59;Male;High School;24;Medium
Psychology;26;Female;Master's;19;Medium
Mechanical Engineering;25;Male;Bachelor's;37;Medium
Mechanical Engineering;35;Female;Master's;28;Medium
Biology;25;Female;Master's;38;Medium
Arts;24;Male;PhD;4;None
Psychology;32;Female;PhD;12;Medium
Arts;39;Female;High School;16;Medium
Arts;34;Male;Master's;34;High
Education;55;Male;PhD;5;Medium
Education;58;Female;Master's;7;Medium
Arts;52;Female;High School;35;High
Mechanical Engineering;33;Female;Master's;14;High
Mechanical Engineering;26;Male;PhD;30;Low
Mechanical Engineering;36;Female;PhD;1;High
Business;41;Female;Master's;33;High
Medicine;25;Female;Bachelor's;15;Low
Psychology;53;Female;Master's;3;Low
Psychology;25;Female;PhD;19;Medium
Psychology;53;Male;Bachelor's;30;Low
Business;48;Female;High School;36;High
Business;51;Male;Bachelor's;1;Medium
Medicine;52;Male;High School;35;Low
Computer Science;42;Male;Bachelor's;2;Low
Psychology;31;Female;High School;15;Medium
Economics;43;Female;High School;32;None
Law;36;Female;High School;19;Low
Education;45;Male;Bachelor's;25;Medium
Psychology;55;Male;Bachelor's;6;Low
Education;33;Male;Bachelor's;32;High
Law;28;Male;High School;14;Low
Economics;31;Female;High School;29;High
Biology;34;Male;Bachelor's;28;Medium
Education;36;Male;Master's;30;High
Arts;21;Female;PhD;10;High
Business;42;Male;High School;8;Low
Economics;58;Female;Master's;32;High
Medicine;52;Male;Bachelor's;1;Low
Computer Science;45;Female;Master's;32;Low
Mechanical Engineering;24;Female;Bachelor's;29;Medium
Education;31;Female;PhD;22;None
Biology;20;Female;PhD;10;None
Education;52;Female;PhD;8;Low
Biology;26;Female;High School;7;Medium
Mechanical Engineering;56;Male;High School;8;None
Education;58;Female;High School;25;Low
Computer Science;59;Male;Master's;30;High
Computer Science;31;Male;PhD;20;None
Business;38;Male;High School;6;None
Computer Science;58;Female;Bachelor's;20;None
Business;29;Male;High School;5;High
Computer Science;22;Female;Master's;20;High
Computer Science;28;Male;Master's;1;None
Biology;26;Male;PhD;38;High
Psychology;36;Male;PhD;14;None
Mechanical Engineering;48;Female;Bachelor's;7;Medium
Arts;33;Female;Master's;30;None
Education;36;Female;Bachelor's;6;Medium
Economics;29;Male;High School;2;High
Economics;43;Male;Master's;34;High
Computer Science;21;Male;PhD;12;High
Education;59;Female;PhD;15;Low
Business;53;Female;High School;15;Low
Business;41;Female;Master's;4;Medium
Mechanical Engineering;49;Male;Master's;15;High
Psychology;48;Female;PhD;38;None
Psychology;50;Female;High School;38;None
Computer Science;22;Female;Bachelor's;4;High
Education;57;Female;Master's;24;High
Education;35;Female;High School;19;High
Education;47;Female;Master's;7;Low
Psychology;25;Male;Bachelor's;1;High
Psychology;30;Female;PhD;21;High
Education;23;Male;Master's;4;Medium
Arts;51;Female;Bachelor's;19;High
Business;55;Female;PhD;3;Medium
Biology;33;Male;Master's;32;Medium
Computer Science;51;Female;High School;16;Low
Mechanical Engineering;58;Female;Bachelor's;10;Low
Business;27;Female;PhD;33;Low
Psychology;44;Male;Master's;12;High
Mechanical Engineering;49;Male;Bachelor's;5;None
Business;41;Male;Bachelor's;29;None
Mechanical Engineering;48;Male;Master's;32;None
Computer Science;49;Female;High School;15;Low
Economics;25;Female;PhD;38;None
Mechanical Engineering;53;Male;Master's;37;Medium
Biology;46;Female;Bachelor's;28;Medium
Computer Science;21;Female;Bachelor's;22;High
Computer Science;46;Female;Master's;5;Low
Mechanical Engineering;50;Male;Bachelor's;38;None
Business;39;Female;Bachelor's;24;None
Medicine;22;Female;Master's;19;High
Law;42;Female;PhD;12;None
Medicine;33;Male;High School;32;Low
Mechanical Engineering;52;Female;Master's;16;High
Education;31;Male;Bachelor's;20;Low
Computer Science;25;Male;Master's;33;Medium
Economics;51;Female;Bachelor's;17;Low
Medicine;31;Male;Master's;30;High
Biology;33;Female;Master's;9;Medium
Business;28;Male;High School;34;Medium
Computer Science;49;Female;PhD;13;High
Arts;26;Male;Bachelor's;20;Low
Biology;53;Female;Master's;7;High
Biology;50;Male;Master's;19;None
Psychology;34;Female;PhD;26;High
Law;28;Male;High School;1;None
Law;53;Male;Master's;22;Low
Law;56;Male;PhD;27;None
Psychology;32;Male;High School;19;None
Law;20;Female;High School;3;High
Medicine;45;Female;High School;8;None
Business;31;Male;Master's;8;None
Medicine;41;Female;High School;7;None
Law;57;Female;High School;28;Medium
Law;24;Female;PhD;15;High
Law;33;Male;Bachelor's;36;Medium
Economics;53;Male;High School;29;High
Law;31;Male;Master's;39;High
Computer Science;55;Male;PhD;36;High
Psychology;56;Male;PhD;23;Medium
Computer Science;38;Male;PhD;37;Medium
Education;56;Male;Bachelor's;27;None
Biology;36;Female;Bachelor's;24;None
Law;48;Female;PhD;7;Low
Psychology;49;Male;PhD;13;None
Arts;25;Male;Bachelor's;5;High
Education;58;Male;PhD;10;None
Business;57;Male;Master's;6;Medium
Biology;42;Male;PhD;23;None
Mechanical Engineering;20;Male;Master's;10;High
Computer Science;21;Male;PhD;29;None
Economics;31;Female;High School;38;None
Mechanical Engineering;29;Female;High School;3;High
Arts;41;Female;Master's;22;None
Business;34;Female;PhD;25;None
Business;29;Male;PhD;33;None
Education;50;Male;Bachelor's;8;Low
Education;29;Female;Bachelor's;21;None
Biology;39;Male;High School;17;High
Psychology;25;Male;Master's;28;None
Arts;32;Male;PhD;20;High
Economics;35;Male;Master's;1;None
Law;50;Male;PhD;2;High
Economics;39;Female;Master's;3;High
Economics;28;Male;High School;13;High
Psychology;52;Female;Master's;11;Low
Arts;21;Female;High School;19;High
Business;37;Male;High School;9;None
Arts;58;Female;Master's;1;Low
Computer Science;55;Male;PhD;9;High
Computer Science;36;Male;High School;7;High
Medicine;27;Female;Master's;1;Low
Medicine;34;Male;PhD;1;High
Economics;25;Female;High School;11;Low
Business;31;Female;Master's;8;Low
Education;25;Female;Master's;38;None
Computer Science;38;Male;Master's;27;High
Biology;25;Female;Bachelor's;27;None
Education;50;Male;High School;1;Low
Economics;38;Female;Master's;25;Medium
Arts;46;Male;High School;4;None
Education;50;Female;Bachelor's;2;High
Business;20;Male;Master's;21;None
Biology;55;Female;PhD;33;None
Arts;27;Male;PhD;0;Medium
Computer Science;22;Male;High School;3;None
Arts;46;Female;High School;9;High
Medicine;30;Female;High School;34;High
Economics;47;Male;Master's;35;Low
Psychology;28;Male;Bachelor's;39;Low
Computer Science;25;Male;Bachelor's;8;Medium
Biology;37;Male;High School;2;High
Computer Science;50;Male;Master's;0;Low
Arts;23;Male;Master's;36;None
Economics;33;Female;High School;15;None
Education;29;Male;High School;30;Low
Medicine;51;Female;High School;6;None
Computer Science;39;Female;High School;20;Low
Mechanical Engineering;43;Male;Bachelor's;12;Medium
Business;48;Female;PhD;16;High
Economics;51;Female;High School;34;High
Business;38;Male;High School;21;None
Psychology;27;Male;Bachelor's;24;None
Arts;41;Male;PhD;15;None
Mechanical Engineering;48;Male;PhD;26;Medium
Mechanical Engineering;56;Male;PhD;21;Low
Medicine;43;Male;High School;4;Medium
Computer Science;32;Male;PhD;22;Low
Psychology;34;Male;PhD;25;Medium
Economics;50;Male;Master's;22;High
Economics;30;Female;Bachelor's;8;High
Arts;21;Female;PhD;0;None
Arts;36;Female;Bachelor's;31;None
Education;25;Female;High School;35;None
Economics;42;Female;PhD;32;High
Law;21;Male;High School;38;Medium
Economics;20;Male;Bachelor's;36;Medium
Arts;34;Female;Master's;39;Low
Business;26;Female;PhD;7;High
Psychology;54;Female;Master's;14;Medium
Computer Science;38;Male;High School;22;Low
Medicine;57;Male;PhD;6;Medium
Economics;38;Male;High School;12;None
Mechanical Engineering;38;Male;Master's;25;Low
Medicine;38;Female;Master's;36;None
Law;29;Male;Master's;28;High
Mechanical Engineering;44;Female;Bachelor's;17;High
Medicine;21;Female;Bachelor's;30;None
Mechanical Engineering;48;Male;Bachelor's;20;Low
Economics;38;Male;Master's;31;High
Arts;26;Male;High School;15;Low
Business;35;Female;Master's;32;Low
Business;31;Female;PhD;24;Low
Medicine;38;Female;PhD;24;Medium
Mechanical Engineering;24;Female;PhD;4;None
Arts;23;Female;PhD;31;Medium
Psychology;48;Male;PhD;0;None
Biology;31;Male;High School;6;Low
Psychology;37;Male;Bachelor's;12;High
Education;53;Male;Master's;34;Medium
Business;37;Male;Bachelor's;16;None
Business;45;Female;High School;39;Medium
Medicine;48;Male;PhD;35;None
Education;55;Female;High School;23;Low
Psychology;22;Male;Bachelor's;17;High
Biology;35;Female;PhD;20;High
Computer Science;27;Male;PhD;33;Medium
Economics;40;Female;PhD;33;Medium
Psychology;27;Male;High School;17;High
Business;59;Male;PhD;28;Low
Business;54;Male;PhD;26;Medium
Biology;44;Female;PhD;31;Low
Law;32;Male;High School;14;None
Computer Science;35;Female;High School;19;None
Biology;33;Female;PhD;11;High
Economics;41;Female;High School;16;High
Education;27;Male;PhD;26;None
Law;24;Female;PhD;29;High
Education;46;Male;High School;28;None
Mechanical Engineering;40;Female;PhD;17;High
Psychology;47;Male;PhD;37;None
Law;29;Female;High School;22;Medium
Mechanical Engineering;53;Female;High School;28;Low
Law;23;Male;High School;8;High
Business;45;Female;High School;9;Low
Business;21;Male;Master's;6;None
Medicine;58;Female;PhD;32;Medium
Economics;52;Female;High School;36;Medium
Computer Science;40;Female;PhD;30;Low
Biology;42;Female;Bachelor's;14;Low
Business;44;Female;Master's;38;Low
Biology;24;Male;Bachelor's;39;Medium
Business;21;Female;High School;17;High
Computer Science;55;Male;PhD;31;Low
Law;37;Male;PhD;38;High
Arts;29;Male;High School;21;Medium
Biology;22;Female;Master's;28;Medium
Law;25;Female;Master's;24;High
Law;57;Female;Master's;1;Medium
Arts;31;Male;Master's;35;High
Medicine;41;Male;High School;30;Low
Economics;44;Male;High School;20;None
Education;51;Female;Master's;16;High
Economics;39;Male;Master's;4;None
Psychology;47;Male;PhD;3;High
Education;35;Female;Bachelor's;16;Low
Law;33;Female;High School;14;High
Mechanical Engineering;46;Male;Master's;36;None
Arts;24;Female;Master's;31;None
Medicine;42;Female;Bachelor's;15;Medium
Medicine;49;Female;High School;38;High
Medicine;48;Male;PhD;17;None
Education;44;Male;Bachelor's;36;None
Law;56;Female;High School;2;Low
Arts;55;Male;PhD;9;Medium
Psychology;38;Male;Bachelor's;11;High
Computer Science;55;Female;Master's;18;High
Psychology;47;Male;Master's;17;Medium
Law;42;Male;Master's;14;None
Law;23;Female;Master's;16;High
Economics;24;Male;Bachelor's;5;Low
Arts;43;Male;PhD;16;Medium
Arts;24;Male;PhD;31;None
Economics;30;Female;Master's;39;High
Mechanical Engineering;51;Female;PhD;31;Low
Computer Science;45;Male;PhD;6;None
Education;46;Male;Master's;27;Medium
Mechanical Engineering;25;Male;High School;6;High
Computer Science;56;Female;Bachelor's;5;None
Arts;46;Male;Master's;32;None
Computer Science;57;Male;High School;15;High
Business;59;Female;PhD;19;Low
Biology;34;Male;Bachelor's;13;None
Economics;45;Female;PhD;12;Medium
Business;47;Female;PhD;17;Medium
Education;40;Female;PhD;14;Medium
Mechanical Engineering;49;Female;Bachelor's;34;Medium
Computer Science;42;Female;Bachelor's;29;None
Education;27;Male;High School;23;Medium
Psychology;36;Male;High School;3;Medium
Education;42;Female;High School;1;High
Education;21;Female;High School;20;High
Business;21;Male;Master's;29;High
Law;54;Female;High School;2;Medium
Computer Science;43;Male;Bachelor's;17;Medium
Law;43;Female;Bachelor's;25;None
Economics;26;Female;Bachelor's;36;Low
Arts;30;Male;Master's;7;None
Computer Science;28;Female;High School;19;None
Arts;54;Female;Bachelor's;0;Medium
Biology;26;Female;Master's;24;High
Law;47;Male;Bachelor's;4;Medium
Arts;47;Male;Bachelor's;8;High
Education;56;Female;PhD;36;Low
Law;57;Male;High School;21;Low
Business;33;Male;High School;11;None
Biology;59;Male;Master's;26;Medium
Computer Science;43;Female;PhD;12;None
Education;56;Male;High School;18;None
Medicine;56;Male;Bachelor's;19;High
Arts;49;Male;Bachelor's;28;Low
Psychology;30;Female;High School;3;Low
Economics;46;Female;High School;1;Low
Psychology;47;Male;High School;3;Low
Medicine;27;Male;High School;14;None
Mechanical Engineering;22;Male;Bachelor's;32;Low
Computer Science;36;Male;High School;35;High
Psychology;34;Male;Bachelor's;13;None
Economics;47;Female;Bachelor's;6;High
Business;46;Female;PhD;24;High
Business;37;Female;PhD;18;Low
Medicine;30;Female;PhD;37;Medium
Biology;55;Female;PhD;7;Medium
Medicine;40;Female;High School;22;High
Economics;48;Female;PhD;0;None
Arts;39;Female;Master's;36;Low
Computer Science;30;Female;Master's;19;None
Education;34;Male;Bachelor's;16;Medium
Medicine;36;Female;Bachelor's;27;Low
Biology;59;Male;Bachelor's;23;Low
Education;49;Female;Master's;18;Low
Law;23;Male;Master's;19;High
Computer Science;33;Female;High School;9;Medium
Education;40;Male;PhD;34;None
Law;51;Female;Bachelor's;32;Medium
Education;34;Female;Bachelor's;26;Low
Mechanical Engineering;33;Female;Master's;23;Low
Economics;31;Male;High School;38;Medium
Law;52;Female;Master's;6;None
Medicine;49;Male;Bachelor's;7;Medium
Business;42;Male;PhD;8;Medium
Law;46;Female;Master's;3;None
Arts;37;Male;PhD;36;Medium
Medicine;31;Male;Bachelor's;26;None
Economics;27;Female;PhD;20;None
Medicine;23;Male;Master's;36;High
Economics;48;Male;Master's;18;High
Education;41;Female;Bachelor's;11;Low
Economics;41;Male;Master's;11;Medium
Education;36;Male;Bachelor's;13;Medium
Medicine;39;Female;PhD;38;None
Mechanical Engineering;46;Female;High School;38;None
Law;58;Male;Bachelor's;37;Low
Computer Science;23;Male;PhD;8;Medium
Law;38;Female;PhD;38;None
Biology;59;Female;PhD;18;High
Education;48;Male;Master's;8;Low
Computer Science;58;Female;High School;4;Low
Arts;54;Female;Bachelor's;36;Low
Economics;38;Female;Master's;20;None
Economics;35;Male;Bachelor's;6;High
Law;31;Male;Bachelor's;16;Low
Psychology;33;Female;High School;17;Medium
Economics;52;Male;PhD;9;Medium
Medicine;44;Male;Master's;17;Medium
Psychology;55;Male;Master's;19;High
Mechanical Engineering;21;Male;Bachelor's;10;Medium
Psychology;39;Female;Bachelor's;10;Low
Business;55;Female;High School;8;Low
Psychology;38;Male;Master's;5;Low
Education;48;Female;High School;9;None
Medicine;45;Female;Bachelor's;11;None
Computer Science;37;Female;Bachelor's;9;None
Biology;57;Female;High School;26;Low
Arts;55;Male;Master's;39;High
Arts;54;Male;Master's;28;None
Biology;40;Male;High School;5;Low
Education;42;Female;PhD;29;Low
Mechanical Engineering;55;Female;Master's;22;None
Education;50;Male;High School;15;High
Biology;20;Female;Master's;5;Low
Biology;37;Female;High School;22;None
Law;57;Male;Master's;22;Low
Biology;46;Female;Bachelor's;5;None
Medicine;46;Male;High School;13;Medium
Psychology;51;Female;PhD;39;Medium
Arts;26;Male;Bachelor's;0;High
Arts;54;Male;Master's;14;None
Business;36;Female;PhD;25;Medium
Education;23;Female;Master's;14;Medium
Computer Science;45;Female;Bachelor's;15;None
Psychology;20;Female;High School;35;Medium
Economics;34;Male;Master's;4;Low
Education;22;Male;Bachelor's;20;Medium
Computer Science;20;Female;Master's;14;None
Education;58;Male;PhD;36;High
Medicine;35;Female;Bachelor's;10;Medium
Business;49;Male;High School;19;None
Economics;51;Female;Bachelor's;32;None
Education;42;Male;PhD;15;Medium
Economics;23;Female;PhD;38;High
Medicine;28;Male;PhD;13;None
Medicine;50;Male;PhD;16;Low
Psychology;33;Male;Master's;35;Medium
Business;24;Male;Master's;21;High
Law;44;Female;Master's;23;High
Computer Science;51;Female;PhD;39;Low
Education;34;Female;High School;30;High
Mechanical Engineering;33;Female;Master's;16;None
Arts;35;Male;PhD;11;High
Mechanical Engineering;42;Male;Bachelor's;33;Low
Mechanical Engineering;46;Male;Bachelor's;26;None
Economics;20;Female;High School;16;None
Business;27;Male;PhD;24;Low
Economics;32;Male;PhD;19;High
Business;36;Female;PhD;29;Low
Law;40;Male;High School;35;Low
Medicine;24;Male;High School;17;High
Education;34;Female;PhD;12;High
Business;56;Female;PhD;39;Low
Computer Science;23;Male;Master's;33;High
Medicine;38;Female;Master's;21;Low
Medicine;44;Female;Bachelor's;3;Medium
Education;41;Female;Master's;31;None
Business;24;Female;PhD;28;High
Mechanical Engineering;23;Male;High School;10;High
Biology;26;Female;Master's;3;Low
Psychology;53;Female;Master's;4;Medium
Biology;22;Female;PhD;1;Medium
Mechanical Engineering;58;Female;Master's;13;Low
Economics;41;Male;Bachelor's;34;Medium
Medicine;43;Female;High School;39;Low
Economics;54;Female;High School;18;None
Education;51;Female;Master's;35;Low
Law;54;Female;Master's;36;None
Arts;29;Female;Bachelor's;17;High
Arts;26;Male;Bachelor's;17;None
Law;45;Male;PhD;12;Low
Computer Science;42;Male;High School;6;Medium
Computer Science;42;Male;Bachelor's;8;High
Economics;25;Female;Bachelor's;0;High
Computer Science;27;Female;Master's;9;None
Economics;23;Male;PhD;24;None
Biology;25;Female;High School;13;Medium
Economics;29;Female;Bachelor's;31;None
Arts;24;Male;Bachelor's;7;Medium
Mechanical Engineering;27;Male;PhD;31;High
Medicine;58;Male;High School;30;High
Psychology;53;Male;PhD;30;High
Arts;46;Male;High School;4;Medium
Mechanical Engineering;47;Male;PhD;0;Medium
Psychology;20;Male;Master's;35;Medium
Mechanical Engineering;48;Male;High School;4;High
Law;25;Male;PhD;1;Medium
Business;52;Male;High School;2;Low
Arts;23;Male;Bachelor's;14;High
Business;53;Female;Bachelor's;19;Medium
Education;49;Male;Master's;38;None
Biology;23;Male;Master's;9;High
Biology;44;Male;Master's;23;Low
Biology;22;Male;Bachelor's;27;Medium
Psychology;56;Female;Master's;8;High
Mechanical Engineering;26;Female;PhD;37;High
Economics;29;Male;PhD;28;Low
Biology;56;Female;PhD;18;None
Biology;37;Male;Bachelor's;39;High
Law;39;Female;Bachelor's;28;High
Economics;23;Female;Master's;31;Low
